Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_FLAT,SQ_ACTIVE_INST_MISC,SQ_ACTIVE_INST_VALU,SQ_ACTIVE_INST_VMEM,SQ_THREAD_CYCLES_VALU,SQ_WAVES,Start_Timestamp,End_Timestamp
92,1,524288,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",93,23,28041.0,24576.0,40960.0,933888.0,0.0,34996224.0,8192.0,4912534964792592.0,4912534964802832.0
93,1,131072,256,0,0,20,4,32,64,"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",94,25,30505.0,34816.0,47104.0,444416.0,0.0,27152384.0,2048.0,4912534964860432.0,4912534964872272.0
94,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",95,18,48373.0,135168.0,147456.0,864256.0,0.0,54667264.0,2048.0,4912534964935473.0,4912534964958353.0
95,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",96,33,32956.0,128.0,148.0,773.0,0.0,49151.0,4.0,4912534965019153.0,4912534965032273.0
96,1,700416,256,0,0,24,0,32,64,"batch_decode_kernels::gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",97,37,194403.0,1061568.0,777024.0,6850944.0,0.0,412949952.0,10944.0,4912534965093713.0,4912534965210834.0
97,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",98,18,149193.0,704512.0,716800.0,3995648.0,0.0,255076352.0,2048.0,4912534965272114.0,4912534965359155.0
98,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",99,33,33959.0,128.0,148.0,773.0,0.0,49151.0,4.0,4912534965421715.0,4912534965435315.0
99,1,233472,256,0,0,16,0,32,64,"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",100,35,74423.0,237120.0,259008.0,1601472.0,0.0,101345088.0,3648.0,4912534965501715.0,4912534965541075.0
100,1,256,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",101,39,28849.0,36.0,110.0,435.0,0.0,25151.0,4.0,4912534965602036.0,4912534965612436.0
101,1,524288,256,0,0,36,4,32,64,"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",102,38,36795.0,41024.0,98432.0,1222240.0,0.0,73010688.0,8192.0,4912534965674036.0,4912534965689876.0
102,1,1024,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",103,41,28540.0,304.0,224.0,3408.0,0.0,204000.0,16.0,4912534965752436.0,4912534965762676.0
103,1,4096,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",104,51,26242.0,80.0,2672.0,2512.0,0.0,70672.0,64.0,4912534965824597.0,4912534965833397.0
104,1,524288,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",105,23,28210.0,24576.0,40960.0,933888.0,0.0,34996224.0,8192.0,4912534965894037.0,4912534965904277.0
105,1,131072,256,0,0,20,4,32,64,"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",106,25,30627.0,34816.0,47104.0,444416.0,0.0,27152384.0,2048.0,4912534965963317.0,4912534965975157.0
106,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",107,18,48379.0,135168.0,147456.0,864256.0,0.0,54667264.0,2048.0,4912534966035958.0,4912534966058838.0
